trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,music.id,russellsQuad.started,music.started,mouse.started,music.stopped,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
12,0,12,0,,../fMRI_stim/music/Q4/MT0000218346.wav,258.78663529996993,258.76926750002895,0.23811159998876974,270.76965380000183,Q3,[-0.17037037037037037],[-0.3490740740740741],[1],[0],[0],[12.494684000033885],271.26966429996537,273.5204230999807,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
13,0,13,0,,../fMRI_stim/music/Q2/MT0015962332.wav,273.5204230999807,273.50299310003174,0.23799039999721572,285.5033206999651,Q1,[0.15555555555555556],[0.3453703703703704],[1],[0],[0],[12.344947700039484],285.85334400000283,288.10408600000665,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
14,0,14,0,,../fMRI_stim/music/Q4/MT0004537445.wav,288.10408600000665,288.0867300000391,0.2337100000004284,,Q1,[0.08148148148148149],[0.10277777777777777],[1],[0],[0],[8.332887600001413],296.4202786000096,298.6710284000146,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
15,0,15,0,,../fMRI_stim/music/Q4/MT0001942272.wav,298.6710284000146,298.65435960004106,0.23844190000090748,,Q4,[0.06018518518518518],[-0.06111111111111111],[1],[0],[0],[9.494329700013623],308.15392359998077,310.3873223999981,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
16,0,16,0,,../fMRI_stim/music/Q1/MT0009010830.wav,310.3873223999981,310.387338600005,0.23226299998350441,322.38765930000227,Q1,[0.03888888888888889],[0.07222222222222222],[1],[0],[0],[15.53345560003072],325.9210720999981,328.18849440000486,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
17,0,17,0,,../fMRI_stim/music/Q4/MT0028550964.wav,328.18849440000486,328.17116232002155,0.2599525999976322,,Q4,[0.2777777777777778],[-0.32407407407407407],[1],[0],[0],[10.70633389998693],338.8880955000059,341.13888370001223,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
18,0,18,0,,../fMRI_stim/music/Q1/MT0026158301.wav,341.13888370001223,341.1215018000221,0.23667290003504604,,Q4,[0.15555555555555556],[-0.3435185185185185],[1],[0],[0],[4.896563699992839],346.02230229997076,348.28904239996336,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
19,0,19,0,,../fMRI_stim/music/Q1/MT0004037272.wav,348.28904239996336,348.27237272001804,0.261561100021936,,Q1,[0.2935185185185185],[0.04722222222222222],[1],[0],[0],[9.25399950001156],357.53858860000037,359.78934979997575,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
20,0,20,0,,../fMRI_stim/music/Q3/MT0014192212.wav,359.78934979997575,359.77198260003934,0.2428891999879852,,Q3,[-0.16574074074074074],[-0.3472222222222222],[1],[0],[0],[9.723995900014415],369.5055900000152,371.7730108000105,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
21,0,21,0,,../fMRI_stim/music/Q3/MT0004922692.wav,371.7730108000105,371.7556629200233,0.2528763000154868,383.75598780001746,Q4,[0.030555555555555555],[-0.3333333333333333],[1],[0],[0],[14.16262999997707],385.9226888999692,388.17347819998395,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
22,0,22,0,,../fMRI_stim/music/Q2/MT0003326925.wav,388.17347819998395,388.15610010002274,0.2392699000192806,,Q1,[0.14074074074074075],[0.3416666666666667],[1],[0],[0],[8.12744529999327],396.2896585999988,398.5230348999612,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
23,0,23,0,,../fMRI_stim/music/Q2/MT0004807446.wav,398.5230348999612,398.50643568001686,0.2259282000013627,,Q1,[0.27685185185185185],[0.32592592592592595],[1],[0],[0],[8.806483399996068],407.32327479997184,409.32332939998014,,,15_02,001,2023-04-05_15h48.51.351,musicemotionlatency,2022.2.5,59.97936709422587,
,,,,,,,,,,,,,,,,,,,409.32332939998014,411.32341399998404,,,,,,,
