trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,starttext.stopped,music.id,russellsQuad.started,music.started,mouse.started,music.stopped,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,,,../fMRI_stim/music/Q1/MT0013101577.wav,203.57987509999657,203.56257309997454,0.23301700002048165,,Q1,[0.2824074074074074],[0.31851851851851853],[1],[0],[0],[9.166444200032856],212.7293957999791,214.98013769998215,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
11,0,11,0,,,../fMRI_stim/music/Q1/MT0002391847.wav,214.98013769998215,214.96288869995624,0.2354967999854125,,Q1,[0.2824074074074074],[0.31851851851851853],[1],[0],[0],[7.629396200005431],222.59592920000432,224.8470973999938,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
12,0,12,0,,,../fMRI_stim/music/Q1/MT0013621344.wav,224.8470973999938,224.82940349995624,0.23650820000329986,,Q4,[0.2740740740740741],[-0.33240740740740743],[1],[0],[0],[8.58026759995846],233.41332530003274,235.6467364000273,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
13,0,13,0,,,../fMRI_stim/music/Q2/MT0006903607.wav,235.6467364000273,235.64680939994287,0.2358562999870628,,Q1,[0.23425925925925925],[0.27685185185185185],[1],[0],[0],[8.097251400002278],243.74690179998288,245.96433190000243,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
14,0,14,0,,,../fMRI_stim/music/Q3/MT0001934726.wav,245.96433190000243,245.94705477996033,0.21169389999704435,257.9468765000347,Q4,[0.15648148148148147],[-0.17314814814814813],[1],[0],[0],[12.954688299971167],258.9135389000294,261.1647638999857,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
15,0,15,0,,,../fMRI_stim/music/Q3/MT0005963165.wav,261.1647638999857,261.1303963399492,0.23016440001083538,273.1310477000079,Q4,[0.09259259259259259],[-0.1111111111111111],[1],[0],[0],[12.568885600019712],273.71446460002335,275.9651578000048,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
16,0,16,0,,,../fMRI_stim/music/Q2/MT0003136077.wav,275.9651578000048,275.94788379996317,0.23737440002150834,,Q1,[0.03518518518518519],[0.29814814814814816],[1],[0],[0],[9.011772600002587],284.96468530001584,287.19874800002435,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
17,0,17,0,,,../fMRI_stim/music/Q3/MT0001967374.wav,287.19874800002435,287.1814787399722,0.21694610000122339,299.18173620000016,Q1,[0.013888888888888888],[0.17037037037037037],[1],[0],[0],[19.965862300014123],307.14865520002786,309.3994321000064,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
18,0,18,0,,,../fMRI_stim/music/Q1/MT0007439502.wav,309.3994321000064,309.3654525399557,0.23171150003327057,321.3656811999972,Q4,[0.2833333333333333],[-0.040740740740740744],[1],[0],[0],[14.718435699993279],324.09914459998254,326.3498678000178,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
19,0,19,0,,,../fMRI_stim/music/Q3/MT0011667212.wav,326.3498678000178,326.3159198399749,0.2298443000181578,338.31621650001034,Q4,[0.018518518518518517],[-0.30462962962962964],[1],[0],[0],[20.10362750000786],346.4330856000306,348.6837465999997,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
20,0,20,0,,,../fMRI_stim/music/Q2/MT0003209662.wav,348.6837465999997,348.66647759993793,0.24041679996298626,360.66677800001344,Q2,[-0.03148148148148148],[0.33055555555555555],[1],[0],[0],[12.308651100029238],360.9834241999779,363.2341799000278,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
21,0,21,0,,,../fMRI_stim/music/Q1/MT0002366291.wav,363.2341799000278,363.2169280999806,0.24302210001042113,375.21715590002714,Q1,[0.012037037037037037],[0.18518518518518517],[1],[0],[0],[13.40705069998512],376.6338476000237,378.9346292000264,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
22,0,22,0,,,../fMRI_stim/music/Q2/MT0028750297.wav,378.9346292000264,378.86737879994325,0.2379184000310488,390.86759310000343,Q1,[0.025925925925925925],[0.31851851851851853],[1],[0],[0],[15.078291599988006],393.9510217999923,396.1850982999895,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
23,0,23,0,,,../fMRI_stim/music/Q4/MT0001768550.wav,396.1850982999895,396.1678283399902,0.2205268000252545,408.16805370000657,Q1,[0.30833333333333335],[0.13796296296296295],[1],[0],[0],[18.362091200018767],414.53484179999214,416.5349539000308,,,15_01,001,2023-04-05_15h40.09.610,musicemotionlatency,2022.2.5,59.75796827747056,
,,,,,,,,,,,,,,,,,,,,416.5349539000308,418.5350046000094,,,,,,,
