trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,starttext.started,music.id,russellsQuad.started,music.started,mouse.started,Quadrants.id,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,fixCross.started,fixCross.stopped,music.stopped,goodbyetext.started,goodbyetext.stopped,participant,session,date,expName,psychopyVersion,frameRate,
14,0,14,0,,../fMRI_stim/music/Q3/MT0005253065.wav,203.01596700004302,202.99856055001146,0.2392767000128515,Q3,[-0.05555555555555555],[-0.3425925925925926],[1],[0],[0],[9.543141600035597],212.54888620000565,214.79993950005155,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
15,0,15,0,,../fMRI_stim/music/Q3/MT0005520274.wav,214.79993950005155,214.78220605003298,0.24220539996167645,Q4,[0.030555555555555555],[-0.32222222222222224],[1],[0],[0],[13.273785199970007],228.06598210002994,230.3334372000536,226.78254890005337,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
16,0,16,0,,../fMRI_stim/music/Q2/MT0006862088.wav,230.3334372000536,230.31594874005532,0.2636761000030674,Q1,[0.16111111111111112],[0.3287037037037037],[1],[0],[0],[10.61936940002488],240.94963310001185,243.1837534000515,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
17,0,17,0,,../fMRI_stim/music/Q3/MT0003129858.wav,243.1837534000515,243.16631516005145,0.23108490003505722,Q4,[0.023148148148148147],[-0.1814814814814815],[1],[0],[0],[18.002149600011762],261.183530600043,263.45097510004416,255.16629290004494,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
18,0,18,0,,../fMRI_stim/music/Q4/MT0001624303.wav,263.45097510004416,263.433529240021,0.24868779996177182,Q4,[0.27685185185185185],[-0.3277777777777778],[1],[0],[0],[9.951224699965678],273.3838670999976,275.6179296000046,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
19,0,19,0,,../fMRI_stim/music/Q1/MT0007013069.wav,275.6179296000046,275.6005260600359,0.22500169998966157,Q4,[0.29444444444444445],[-0.08981481481481482],[1],[0],[0],[14.05731389997527],289.6676267000148,291.9183817000012,287.6009035000461,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
20,0,20,0,,../fMRI_stim/music/Q2/MT0002960683.wav,291.9183817000012,291.90095965002547,0.23236700001871213,Q1,[0.1638888888888889],[0.3314814814814815],[1],[0],[0],[12.617863000021316],304.5187347000465,306.76881210005376,303.90134209999815,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
21,0,21,0,,../fMRI_stim/music/Q2/MT0008361425.wav,306.76881210005376,306.7520419500361,0.2422231999807991,Q1,[0.20462962962962963],[0.33425925925925926],[1],[0],[0],[11.056667600001674],317.8184442000347,320.06918430002406,,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
22,0,22,0,,../fMRI_stim/music/Q4/MT0007207968.wav,320.06918430002406,320.051718050061,0.23546579998219386,Q3,[-0.05277777777777778],[-0.33055555555555555],[1],[0],[0],[15.230901299975812],335.2855364000425,337.51961130002746,332.0520765000256,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
23,0,23,0,,../fMRI_stim/music/Q2/MT0006798861.wav,337.51961130002746,337.5021854600054,0.22666980000212789,Q1,[0.12314814814814815],[0.3351851851851852],[1],[0],[0],[13.872892200015485],351.38595900003565,353.38601620000554,349.50216520001413,,,15_03,001,2023-04-05_15h54.38.504,musicemotionlatency,2022.2.5,60.00099601014786,
,,,,,,,,,,,,,,,,,,,353.38601620000554,355.38674860005267,,,,,,,
